"Grid","Sl. No.","PH","AP","LP","HI","lam-hat(ct)","psi-hat(os)"
"48I11NE",1,0.2,0.5,0.5,1,,0.4530896697
"48I11NW",2,0.25,0.2,0.2,0.9,,0.3931604865
"48I11SE",3,0.525,0.428571429,0.428571429,0.904761905,,0.6080839412
"48I11SW",4,0.45,0.277777778,0.166666667,0.888888889,,0.5613041518
"48I12NE",5,0.725,0.137931034,0.103448276,0.793103448,0.157674998,0.6692227421
"48I12NW",6,0.525,0.428571429,0.380952381,0.714285714,1.099050001,0.6157207954
"48I12SE",7,0.9,0.333333333,0.166666667,0.972222222,,0.7550154058
"48I12SW",8,0.75,0.366666667,0.366666667,0.666666667,1.009525005,0.7192176347
"48I16NW",9,0.175,0.714285714,0.571428571,0.857142857,,0.4910317757
"48I16SE",10,0.45,0.444444444,0.333333333,1,,0.5716809773
"48I16SW",11,0.675,0.481481481,0.407407407,1,,0.6821215838
"48I6NW",12,0.45,0.277777778,0.222222222,0.888888889,,0.5130002409
"48I6SE",13,0.35,0.214285714,0.214285714,0.928571429,,0.4214300608
"48I6SW",14,0.45,0.111111111,0.111111111,0.722222222,,0.5017381275
"48I7NE",15,0.55,0.318181818,0.272727273,0.909090909,,0.589010018
"48I7NW",16,0.425,0.352941176,0.352941176,0.882352941,0.068600006,0.5652741543
"48I7SE",17,0.55,0.727272727,0.681818182,0.5,0.122225,0.7551876348
"48I7SW",18,0.425,0.352941176,0.294117647,0.705882353,0.879825003,0.6118084932
"48I8NE",19,0.675,0.703703704,0.703703704,0.666666667,,0.7609400437
"48I8NW",20,0.45,0.388888889,0.388888889,0.722222222,0.048175008,0.5820520581
"48I8SE",21,0.975,0.230769231,0.153846154,0.846153846,0.056175009,0.7538792945
"48I8SW",22,0.8,0.125,0.0625,0.84375,0.023000013,0.6594084531
"48J10NE",23,0.775,0.290322581,0.161290323,0.967741935,,0.7444395213
"48J10NW",24,0.2,0,0,1,,0.3452705271
"48J10SE",25,0.6,0.125,0.083333333,1,,0.5342529998
"48J10SW",26,0.775,0.161290323,0.161290323,1,,0.6353832273
"48J11NE",27,0.45,0.277777778,0.277777778,0.5,,0.6010329383
"48J11SE",28,0.675,0.407407407,0.259259259,0.777777778,,0.7606131408
"48J11SW",29,0.5,0.25,0.2,0.65,,0.6469450662
"48J12NE",30,0.575,0.434782609,0.434782609,0.739130435,,0.7000690761
"48J12NW",31,0.25,0.2,0.2,0.9,,0.5524715752
"48J12SE",32,0.625,0.76,0.76,0.84,,0.7355798813
"48J13NE",33,0.75,0.466666667,0.4,1,,0.7584598306
"48J13NW",34,0.325,0.384615385,0.230769231,1,,0.5078938494
"48J13SE",35,0.75,0.4,0.233333333,1,,0.6777810114
"48J13SW",36,0.6,0.416666667,0.208333333,0.958333333,,0.6897973176
"48J14NE",37,0.6,0.333333333,0.25,1,,0.6878417564
"48J14NW",38,0.75,0.3,0.2,1,,0.6907059576
"48J14SE",39,0.375,0.133333333,0.066666667,1,,0.4976572649
"48J14SW",40,0.4,0.125,0.0625,1,,0.45776887
"48J15NE",41,0.175,0.285714286,0.142857143,1,,0.4787053531
"48J15NW",42,0.4,0.25,0.0625,0.9375,,0.5091004463
"48J15SW",43,0.25,0.2,0.2,1,,0.3951399188
"48J16NW",44,0.375,0.733333333,0.6,0.933333333,,0.6143770778
"48J16SE",45,0.3,0.583333333,0.166666667,1,,0.5073274376
"48J16SW",46,0.475,0.526315789,0.421052632,1,,0.606493703
"48J1NE",47,0.85,0.147058824,0.088235294,0.764705882,,0.7074741979
"48J1NW",48,0.125,0,0,0.8,,0.3137154316
"48J1SE",49,0.35,0.142857143,0.142857143,0.428571429,,0.5189539393
"48J5NE",50,0.8,0.25,0.21875,0.5,0.043400014,0.7469349663
"48J5NW",51,0.575,0,0,0.739130435,0.084775004,0.5284902662
"48J5SE",52,0.675,0.259259259,0.259259259,0.481481481,,0.6791563091
"48J5SW",53,0.95,0.026315789,0,0.736842105,,0.7267160113
"48J6NE",54,0.825,0.363636364,0.272727273,0.454545455,,0.7561012049
"48J6NW",55,0.45,0.222222222,0.222222222,0.5,,0.5600572625
"48J6SE",56,0.45,0.055555556,0.055555556,0.888888889,,0.4619306846
"48J9NE",57,0.65,0.153846154,0,1,,0.596301717
"48J9NW",58,0.75,0.5,0.233333333,0.966666667,0.175975003,0.7206321705
"48J9SE",59,0.725,0.344827586,0.172413793,0.931034483,,0.7126755145
"48J9SW",60,0.6,0.416666667,0.25,0.875,,0.6505985346
"48K13NE",61,0.125,0.6,0.2,1,,0.4632476063
"48K13NW",62,0.5,0.15,0.15,0.95,,0.5120636968
"48K13SE",63,0.9,0.638888889,0.611111111,0.25,,0.8595974235
"48K13SW",64,0.625,0.32,0.32,0.56,,0.6928357737
"48K14NE",65,0.575,0.434782609,0.391304348,0.826086957,,0.6635773895
"48K14SE",66,0.15,0.333333333,0.166666667,0.833333333,,0.3881234342
"48K9NE",67,0.25,0.6,0.6,0.7,,0.5217645047
"48K9SE",68,0.125,0.4,0.4,1,,0.4246135814
"48N1NW",69,0.15,0.166666667,0,1,,0.4536825863
"48N1SW",70,0.2,0.625,0.5,1,,0.4673694218
"48N3NW",71,0.225,0.222222222,0.222222222,1,,0.4913088714
"48N3SE",72,0.2,0,0,1,,0.373064138
"48N4NE",73,0.2,0.125,0.125,1,,0.3452705271
"48N8NE",74,0.225,0.444444444,0,1,,0.4318435106
"48N8NW",75,0.175,0.571428571,0.142857143,1,,0.501592139
"48N8SE",76,0.225,0.888888889,0.444444444,1,,0.5214439074
"48N8SW",77,0.45,0.222222222,0,0.944444444,,0.5543209256
"48O10NE",78,0.5,1,0.95,0.2,4.201742856,0.7801049762
"48O10NW",79,0.6,0.916666667,0.875,0.958333333,4.750057145,0.7278030436
"48O10SE",80,0.85,0.823529412,0.823529412,0.029411765,4.227799986,0.8708753903
"48O10SW",81,0.6,0.708333333,0.666666667,0.041666667,2.125857025,0.8041649953
"48O11NE",82,0.575,0.260869565,0.217391304,0.304347826,2.022628566,0.695360931
"48O11NW",83,0.625,0.6,0.52,0.44,1.219485696,0.7406739004
"48O11SW",84,0.225,0.333333333,0.333333333,0.888888889,0.912971427,0.4179519198
"48O12NW",85,0.45,0.444444444,0.166666667,1,,0.5470827846
"48O12SW",86,0.675,0.37037037,0.222222222,0.703703704,,0.6825856197
"48O13NE",87,0.325,0.538461538,0.153846154,0.923076923,,0.5388500693
"48O13NW",88,0.675,0.407407407,0.333333333,0.962962963,,0.7006397491
"48O13SE",89,0.4,0.375,0.375,1,,0.5188233241
"48O13SW",90,0.625,0.6,0.56,0.92,,0.7222749421
"48O14NW",91,0.225,0.666666667,0.666666667,0.888888889,,0.5345570861
"48O14SW",92,0.4,0.5,0.4375,0.625,,0.5927511908
"48O15NW",93,0.4,0.5625,0.5,0.875,,0.5968574509
"48O1NE",94,0.125,0,0,1,,0.2953387669
"48O1SE",95,0.125,0,0,1,,0.2953387669
"48O2NE",96,0.225,0.555555556,0.444444444,0.888888889,,0.5269891874
"48O2NW",97,0.7,0.464285714,0.357142857,0.785714286,,0.7365780159
"48O2SW",98,0.825,0.454545455,0.424242424,0.757575758,,0.7874354972
"48O3NE",99,0.575,0.391304348,0.391304348,0.608695652,,0.6572293209
"48O3NW",100,0.975,0.41025641,0.282051282,0.692307692,,0.8357750117
"48O3SE",101,1,0.642857143,0.595238095,0.642857143,,0.8558015346
"48O3SW",102,0.65,0.692307692,0.653846154,0.423076923,,0.7827153028
"48O4NE",103,0.975,0.666666667,0.615384615,0.538461538,,0.8536904126
"48O4NW",104,0.15,0,0,1,,0.3198338547
"48O4SE",105,0.2,0.625,0.5,0.375,,0.5411426277
"48O5NE",106,0.825,0.454545455,0.424242424,0.848484848,,0.7777601768
"48O5NW",107,0.8,0.15625,0.09375,0.96875,,0.6364888965
"48O5SE",108,0.825,0.393939394,0.363636364,0.848484848,,0.751370579
"48O5SW",109,0.6,0,0,0.708333333,,0.5314887091
"48O6NE",110,0.3,0.333333333,0.25,1,,0.4857040536
"48O6SE",111,0.35,0.285714286,0.214285714,0.928571429,,0.469463521
"48O6SW",112,0.3,0,0,1,,0.3582106523
"48O7NE",113,0.55,0.090909091,0.090909091,0.954545455,0.25462857,0.4898467882
"48O7NW",114,0.55,0.272727273,0.181818182,0.909090909,,0.6021511768
"48O7SE",115,0.55,0.318181818,0.227272727,1,0.059257143,0.5828957838
"48O7SW",116,0.9,0.083333333,0.055555556,0.972222222,,0.6754198491
"48O8NE",117,0.5,0.25,0.2,0.8,,0.5421175386
"48O8NW",118,0.925,0.378378378,0.351351351,0.810810811,,0.7767352476
"48O8SE",119,0.65,0.384615385,0.384615385,0.346153846,,0.744530758
"48O8SW",120,0.6,0.708333333,0.708333333,0.458333333,,0.7518106245
"48O9SW",121,0.475,0.684210526,0.526315789,0.894736842,1.3364,0.6265335005
"48P10NE",122,0.7,0.142857143,0.107142857,0.607142857,,0.6203843547
"48P10NW",123,0.45,0.111111111,0.111111111,0.888888889,,0.5451953759
"48P10SE",124,0.75,0.466666667,0.4,0.2,,0.7984147883
"48P10SW",125,0.65,0.576923077,0.538461538,0.269230769,,0.7776892521
"48P11NE",126,0.55,0.090909091,0.090909091,1,,0.4997583211
"48P11NW",127,0.775,0.096774194,0.032258065,0.580645161,,0.6907982203
"48P11SE",128,0.35,0.071428571,0,0.615384615,,0.4414267554
"48P11SW",129,0.675,0.222222222,0.185185185,0.703703704,,0.6324025242
"48P12NE",130,0.7,0.214285714,0.214285714,0.464285714,,0.7086263755
"48P12NW",131,0.65,0.576923077,0.576923077,0.307692308,,0.7803598234
"48P12SE",132,0.35,0.428571429,0.357142857,0.142857143,,0.6582185196
"48P14NE",133,0.175,0.428571429,0.428571429,1,,0.4609927588
"48P14SE",134,0.25,0.3,0.2,1,,0.4462955659
"48P14SW",135,0.25,0.3,0.2,0.9,,0.3931604865
"48P15NE",136,0.4,0.4375,0.4375,0.6,,0.5862839828
"48P15NW",137,0.25,0.4,0.4,0.7,,0.508755493
"48P15SE",138,0.55,0.5,0.5,0.272727273,,0.7596496014
"48P15SW",139,0.175,0.142857143,0.142857143,1,,0.4045808146
"48P16NE",140,0.225,0,0,0.888888889,,0.3405250612
"48P16NW",141,0.4,0.625,0.5625,0.375,,0.6591158583
"48P16SE",142,0.6,0.166666667,0.125,0.75,,0.6160718065
"48P16SW",143,0.8,0.5,0.4375,0.03125,,0.8504094277
"48P5NE",144,0.75,0.333333333,0.333333333,0.033333333,,0.8465885149
"48P5SE",145,0.3,0,0,0.916666667,,0.3857957127
"48P6NE",146,0.3,0.083333333,0,0.5,,0.4440478455
"48P6SE",147,0.5,0.15,0.1,0.6,,0.5227529263
"48P6SW",148,0.125,0.2,0.2,1,,0.376051249
"48P7NE",149,0.7,0.357142857,0.357142857,0.535714286,,0.7018750134
"48P7SE",150,0.425,0.058823529,0.058823529,0.352941176,,0.5184682071
"48P9NE",151,0.4,0.5625,0.5625,0.75,,0.5963303725
"48P9NW",152,0.85,0.235294118,0.147058824,0.323529412,,0.798501898
"48P9SE",153,0.725,0.448275862,0.379310345,0.344827586,,0.7434455348
"48P9SW",154,0.9,0.138888889,0.138888889,0.333333333,,0.7720871837
"49M13NE",155,0.8,0.5625,0.5625,0.125,,0.8299533204
"49M13NW",156,0.325,0.461538462,0.461538462,0.769230769,,0.5578921418
"57D3SW",157,0.25,0.6,0.6,0.3,,0.6250092505
"57D4NE",158,0.5,1,0.9,0.15,4.5092,0.7910336938
"57D4NW",159,0.7,0.892857143,0.892857143,0.142857143,8.93116667,0.8601240706
"57D4SE",160,0.9,0.916666667,0.916666667,0,19.93586667,0.9037991794
"57D4SW",161,0.575,1,0.956521739,0,14.4715,0.8349738523
"57D8SW",162,0.1,0.75,0.5,1,,0.4510965447
"57H10NW",163,0.225,0.555555556,0.555555556,1,,0.4612551911
"57H10SW",164,0.425,0.411764706,0.117647059,1,,0.5246625042
"57H11NW",165,0.2,0.125,0,1,,0.3452705271
"57H11SW",166,0.7,0.107142857,0.071428571,0.928571429,,0.5871104153
"57H12NE",167,0.5,0.4,0.4,0.95,,0.5713254072
"57H12NW",168,0.35,0.357142857,0.357142857,1,,0.4701960845
"57H12SE",169,0.6,0.541666667,0.5,1,,0.6417634126
"57H12SW",170,0.85,0.411764706,0.411764706,0.823529412,,0.780670489
"57H4NE",171,0.125,0.2,0.2,0.8,0.468314285,0.3519945482
"57H4SE",172,0.575,0.565217391,0.565217391,0.608695652,14.09508571,0.7241294827
"57H7SE",173,0.475,0.263157895,0,1,,0.5208220093
"57H7SW",174,0.775,0.483870968,0.290322581,0.774193548,,0.7563160314
"57H8NE",175,0.625,0.36,0.2,0.8,,0.6560985018
"57H8NW",176,0.225,0.222222222,0.222222222,1,,0.3769008718
"57H8SE",177,0.55,0.545454545,0.545454545,0.681818182,,0.7028439634
"57H8SW",178,0.25,0.2,0.2,0.9,,0.3931604865
"57H9SW",179,0.15,0.166666667,0.166666667,0.5,,0.3939259273
"58A10NE",180,0.325,1,1,0.230769231,,0.7024681562
"58A10NW",181,0.825,0.939393939,0.939393939,0.03030303,18.5977,0.8910403099
"58A10SE",182,0.125,0.4,0.4,0,,0.5919428485
"58A10SW",183,0.225,1,1,0,,0.6953351841
"58A14NW",184,0.45,0.333333333,0.333333333,0.388888889,,0.6050095146
"58A1NE",185,0.875,1,0.971428571,0.2,25.40443333,0.892140172
"58A1NW",186,0.65,0.923076923,0.923076923,0,,0.8534643026
"58A1SE",187,0.275,1,1,0.181818182,9.139700002,0.7014137064
"58A5NE",188,0.2,0.75,0.75,1,0.1969,0.4913802411
"58A5NW",189,0.325,0.615384615,0.615384615,0.615384615,6.013033332,0.5983942294
"58A5SE",190,0.775,0.903225806,0.903225806,0.032258065,8.981066664,0.8661606988
"58A5SW",191,0.85,0.941176471,0.911764706,0.029411765,23.52756667,0.8923087556
"58A6NE",192,0.6,0.875,0.875,0,19.04863334,0.8358619225
"58A6NW",193,0.2,1,1,0,,0.6829480545
"58A9NW",194,0.1,1,1,0.75,0.982733334,0.544109105
"58A9SW",195,0.525,0.857142857,0.857142857,0.19047619,8.02316667,0.7969665406
"58E1NE",196,0.875,0.885714286,0.885714286,0.228571429,21.40571428,0.8820327313
"58E1NW",197,0.375,0.8,0.8,0.266666667,5.770799998,0.7238122296
"58E1SE",198,0.675,0.740740741,0.740740741,0.259259259,11.37248572,0.8276091281
"58E1SW",199,0.675,0.888888889,0.888888889,0.592592593,14.01848571,0.8157988403
"58E5NE",200,0.8,0.34375,0.28125,0.9375,,0.6967933595
"58E5NW",201,0.775,0.419354839,0.387096774,0.838709677,,0.7354794157
"58E5SE",202,0.75,0.166666667,0.1,1,,0.6104665875
"58E5SW",203,0.85,0.470588235,0.470588235,0.882352941,,0.7401511858
"58E9NE",204,0.375,0.666666667,0.666666667,0.666666667,,0.6955724227
"58E9NW",205,0.25,0.2,0.2,1,,0.3823862456
